City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
70,Veraval,IN,2/6/2022 23:10,20.9,70.3667,64.27,77,6,9.31
71,Asau,RO,2/6/2022 23:13,46.4333,26.4,38.39,58,100,6.67
72,Camacari,BR,2/6/2022 23:13,-12.6975,-38.3242,83.97,84,79,5.44
73,Faanui,PF,2/6/2022 23:13,-16.4833,-151.75,81.63,74,100,20.02
74,Ekuvukeni,ZA,2/6/2022 23:13,-28.4675,30.1551,59.58,97,40,1.5
75,Naze,JP,2/6/2022 23:09,28.3667,129.4833,52.86,59,100,6.15
76,Saint-Philippe,RE,2/6/2022 23:09,-21.3585,55.7679,78.35,82,100,13.04
77,Sao Paulo De Olivenca,BR,2/6/2022 23:13,-3.3783,-68.8725,75.34,96,78,2.68
78,Arauco,CL,2/6/2022 23:13,-37.2463,-73.3175,71.62,48,6,10.58
79,New Norfolk,AU,2/6/2022 23:08,-42.7826,147.0587,69.66,51,2,1.99
80,Kahului,US,2/6/2022 23:05,20.8947,-156.47,82.42,65,20,23.02
81,Kamyshin,RU,2/6/2022 23:13,50.0983,45.416,19.22,97,99,4.54
82,Tahta,EG,2/6/2022 23:13,26.7693,31.5021,53.6,50,0,6.78
83,Aksarka,RU,2/6/2022 23:13,66.5606,67.7975,-14.69,100,93,7.02
84,Bagdarin,RU,2/6/2022 23:13,54.4333,113.6,-11.61,96,30,3.51
85,Saint-Augustin,CA,2/6/2022 23:13,51.226,-58.6502,-20.63,88,3,5.17
86,Mar Del Plata,AR,2/6/2022 23:05,-38.0023,-57.5575,66.09,82,75,1.99
87,Hithadhoo,MV,2/6/2022 23:06,-0.6,73.0833,81.93,73,34,13.8
88,Koumac,NC,2/6/2022 23:13,-20.5667,164.2833,83.26,78,100,13.09
89,Challans,FR,2/6/2022 23:14,46.8436,-1.8749,53.51,85,90,19.82
90,Deputatskiy,RU,2/6/2022 23:09,69.3,139.9,-35.19,98,75,5.41
91,Novoaleksandrovsk,RU,2/6/2022 23:14,45.4948,41.2207,32.61,83,100,12.15
92,Khani,GE,2/6/2022 23:14,41.9563,42.9566,24.37,98,100,0.96
93,Chuy,UY,2/6/2022 23:08,-33.6971,-53.4616,65.59,56,5,13.18
94,Esperance,AU,2/6/2022 23:08,-33.8667,121.9,63.12,59,50,25.99
95,Tuktoyaktuk,CA,2/6/2022 23:08,69.4541,-133.0374,-18.4,98,100,13.94
96,Tambacounda,SN,2/6/2022 23:14,13.7539,-13.7586,82.38,10,0,8.48
97,Thompson,CA,2/6/2022 23:03,55.7435,-97.8558,-4.72,90,18,7.85
98,Voznesenskaya,RU,2/6/2022 23:14,44.5527,41.0318,20.57,95,35,6.46
99,Kuldur,RU,2/6/2022 23:14,49.2167,131.6333,-11.97,99,75,3.8
100,Moses Lake,US,2/6/2022 23:14,47.1301,-119.2781,45.23,70,0,0
101,Whitehorse,CA,2/6/2022 23:10,60.7161,-135.0538,35.1,88,82,10
102,Hammerfest,NO,2/6/2022 23:14,70.6634,23.6821,25.25,68,0,14.97
103,Komsomolskiy,UZ,2/6/2022 23:14,40.4272,71.7189,39.92,81,75,2.3
104,Palora,EC,2/6/2022 23:14,-1.7,-77.9333,75.31,90,77,0.87
105,Fukue,JP,2/6/2022 23:12,32.6881,128.8419,43.86,59,98,13.29
106,Cabra,ES,2/6/2022 23:14,37.4725,-4.4421,52.9,82,4,2.42
107,Aklavik,CA,2/6/2022 23:14,68.2191,-135.0107,-17.1,91,100,19.37
108,Sitka,US,2/6/2022 23:11,57.0531,-135.33,44.49,70,100,13.8
109,Ettenheim,DE,2/6/2022 23:14,48.25,7.8167,49.93,92,100,27.34
110,Beibei,CN,2/6/2022 23:14,29.8256,106.4339,44.37,92,100,2.91
111,Kodiak,US,2/6/2022 23:09,57.79,-152.4072,36.91,48,75,11.5
112,Hambantota,LK,2/6/2022 23:09,6.1241,81.1185,74.46,73,94,7.56
113,Santarem,BR,2/6/2022 23:11,-2.4431,-54.7083,75.33,100,20,1.14
114,Cidreira,BR,2/6/2022 23:08,-30.1811,-50.2056,72.9,69,7,13.96
115,Pasighat,IN,2/6/2022 23:14,28.0667,95.3333,51.73,85,52,2.62
116,Boyabat,TR,2/6/2022 23:14,41.4689,34.7667,29.86,92,20,1.45
117,Santa Cruz,BO,2/6/2022 23:11,-17.8,-63.1667,82.45,57,75,11.5
118,Tateyama,JP,2/6/2022 23:14,34.9833,139.8667,39.09,50,59,11.18
119,Vallenar,CL,2/6/2022 23:14,-28.5708,-70.7581,78.39,37,0,5.59
120,Kupang,ID,2/6/2022 23:14,-10.1667,123.5833,80.56,85,56,7.54
121,Tolosa,FR,2/6/2022 23:14,43.6043,1.4437,48.18,71,100,12.66
122,Clyde River,CA,2/6/2022 23:07,70.4692,-68.5914,-36.15,98,92,5.28
123,Paradise,US,2/6/2022 23:14,36.0972,-115.1467,67.41,15,0,15.01
124,Sola,VU,2/6/2022 23:11,-13.8833,167.55,82.94,78,100,18.61
125,Busselton,AU,2/6/2022 23:06,-33.65,115.3333,56.08,63,68,18.81
126,Namatanai,PG,2/6/2022 23:14,-3.6667,152.4333,84.25,67,32,4.5
127,Nanortalik,GL,2/6/2022 23:09,60.1432,-45.2371,17.71,65,100,28.7
128,Husavik,IS,2/6/2022 23:14,66.0449,-17.3389,21.11,90,99,9.64
129,Bambous Virieux,MU,2/6/2022 23:08,-20.3428,57.7575,78.22,83,91,9.51
130,Angoche,MZ,2/6/2022 23:14,-16.2325,39.9086,74.68,94,69,9.01
131,Dukat,RU,2/6/2022 23:14,62.55,155.55,-11.7,67,0,1.3
132,Muros,ES,2/6/2022 23:07,42.7762,-9.0603,48.7,85,39,8.37
133,Mingguang,CN,2/6/2022 23:14,32.7802,117.9638,31.08,96,100,11.12
134,Breves,BR,2/6/2022 23:14,-1.6822,-50.4803,74.48,97,99,5.3
135,Iqaluit,CA,2/6/2022 23:14,63.7506,-68.5145,-36.67,65,0,8.01
136,Peniche,PT,2/6/2022 23:14,39.3558,-9.3811,55.62,73,32,13.22
137,Kota Bahru,MY,2/6/2022 23:15,6.1333,102.2386,78.75,89,40,10.36
138,Aranos,NA,2/6/2022 23:15,-24.1333,19.1167,77.72,45,76,9.37
139,Athens,GR,2/6/2022 23:13,37.9795,23.7162,53.17,83,20,1.99
140,Faya,SA,2/6/2022 23:13,18.3851,42.4509,48.72,71,3,0.65
141,Griffith,US,2/6/2022 23:15,41.5284,-87.4237,32.92,75,0,3
142,Ouallam,NE,2/6/2022 23:15,14.3188,2.0866,70.72,12,0,10.47
143,Saskylakh,RU,2/6/2022 23:15,71.9167,114.0833,-23.15,100,96,2.48
144,Mweka,CD,2/6/2022 23:15,-4.85,21.5667,68.13,97,100,0.98
